Project,Description,Outcome EN,Output EN,Sector,Beneficiary,Donor,Beneficiary Type,Regional Group,Start Date,End Date,Coordinates
"SVG - Response to students of the Grenadine Islands who must be relocated to mainland Saint Vincent to continue their schooling, as a result of Hurricane Beryl","<p>The Emergency Assistance Project provides a response to <span style=""font-family: Arial, sans-serif;"">students of the Grenadine Islands, especially of Mayreau and Union Island who must be relocated to mainland Saint Vincent to continue their schooling, at least for a year, </span>as a result of <span style=""font-family: Arial, sans-serif;"">Hurricane Beryl of category 4 strength that struck the country on 1 July 2024, destroying the buildings of learning institutions throughout the Grenadine Islands, including the buildings of learning institutions in the Saint Vincent mainland. This project will allow for the purchase of standardized textbooks for affected students.</span></p>","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Saint Vincent and the Grenadines,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"13.25, -61.2"
Pilot project on Digital Resilience:  Empowering Girls against Online Disinformation,"In today&#39;s digital age, online platforms serve as essential avenues for communication, learning, and social interaction. However, they also present challenges, particularly the proliferation of disinformation and misinformation. Cyberbullying, misinformation, grooming, fraud... in the digital age, young people face risks and dangers from which they must learn to protect themselves. In this context, educating digitally resilient citizens can prove to be as fundamental as offline civic education","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Lebanon,,Country,Arab States,2024-01-01,2025-12-31,"33.8333, 35.8333"
Célébration du cinquantenaire de la disparition de Suzanne Comhaire-Sylvain en association avec l’UNESCO,"La commémoration du cinquantenaire de la disparition de Suzanne Comhaire-Sylvain, première femme anthropologue et linguiste d&#39;Haïti (1898-1975), aura lieu de mars 2024 à juin 2025, avec le soutien de Cuba, de l&#39;Éthiopie et du Gabon. L&#39;événement est intégré aux célébrations de l&#39;UNESCO pour le biennium 2024-2025.  

Écrivaine engagée, Comhaire-Sylvain a créé des liens entre Haïti et l&#39;Afrique, soulignant l&#39;importance de l&#39;héritage africain dans la culture haïtienne. Disciple de Mauss, Malinowski et Métraux, elle a publié des ouvrages majeurs sur la littérature orale africaine et haïtienne, symbolisant une figure clé des sciences humaines et sociales.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Haiti,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"19.0, -72.4167"
"Projet d’inventaire des mémoires de l’esclavage en Haïti, avec une phase pilote dans les 19 communes du département du Nord","Le Nord d’Haïti héberge des vestiges intacts liés à la mémoire et à l’histoire de la traite transatlantique des esclaves : habitations coloniales, fortifications, palais, témoignages véhiculés par la tradition orale depuis des générations. Cependant, il n’existe aucun inventaire de ces éléments patrimoniaux. Le présent projet d’inventaire vise à combler ce manque. Il combine collecte de données de terrain et ateliers sur la traite des Noirs, la construction des identités et leur rapport avec les problèmes de racisme, d’inégalité et de clivages sociaux. L’action participe ainsi à la revitalisation du projet « Les Routes des personnes mises en esclavage ».","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Haiti,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"19.0, -72.4167"
"Taller ""Construyendo igualdad desde la comunidad educativa del nivel inicial""","Se apunta a orientar a los actores educativos del Nivel Inicial sobre el manejo y ejercicio del concepto &quot;sujetos plenos de derechos&quot;, además se pretende proveer herramientas para implementar estrategias con cuidadores y familias en la dimensión educativa y sistematizar las experiencias de la práctica en las diferentes comunidades educativas. La propuesta se realizará mediante talleres dirigidos a actores de la comunidad educativa del nivel inicial y para relevar la experiencia respecto al cumplimiento de los derechos en las familias con niños de nivel inicial.

(ENG) The aim is to guide the educational actors of the Initial Level on the management and exercise of the concept of &quot;full subjects of rights&quot;, in addition to providing tools to implement strategies with caregivers and families in the educational dimension and systematize the experiences of the practice in the different educational communities. The proposal will be carried out through workshops aimed at actors of the educational community of the initial level and to survey the experience regarding the fulfillment of rights in families with children at the initial level.It aims to guide the educational actors of the Initial Level on the management and exercise of the concept &quot;full subjects of rights&quot;, in addition it is intended to provide tools to implement strategies with caregivers and families in the educational dimension and to systematize the experiences of the practice in the different educational communities. The proposal will be carried out through workshops aimed at actors of the educational community of the initial level and to survey the experience regarding the fulfillment of rights in families with children at the initial level.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Paraguay,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"-23.0, -58.0"
"Empower Ability Grenada, Building a Supportive Ecosystem for Disabled Youth","EmpowerAbility Grenada is a transformative program tailored for disabled individuals aged 18 to 35 years living in Grenada. Our initiative focuses on equipping participants with crucial life skills, entrepreneurial knowledge, and opportunities to start their own businesses. We also emphasize mental health support through specialized training and professional development opportunities to essential workers to enhance their service to the disabled community. Additionally, parents can benefit from group sessions that provide effective communication techniques and guidance on accessing services for their children growth.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Grenada,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"12.1167, -61.6667"
Blind Soundscapes: An Inclusive Arts Initiative at the Salvation Army School for the Blind,"To support the expansion upgrades for the Visual Arts and Recording Program at the Salvation Army School for the Blind. This includes acquiring musical instruments, electrical upgrades, obtaining five electronic braille machines and musical lighting so as to empower blind students at the Salvation Army School for the Blind by creating a nurturing environment for their artistic and musical talents. The fundamental purpose of this project is to provide access, opportunity, and education in the visual arts and music fields, which are often inaccessible to individuals with visual impairments. By expanding and upgrading the existing Visual Arts and Recording Room, we seek to unlock the creative potential of these students and promote inclusivity and equality in the arts.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Jamaica,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"18.25, -77.5"
Capacitación de mujeres  Emprendedoras para la generación de autoempleo en el departamento de  Rocha,"La Intendencia Departamental de Rocha, propone contribuir a la generación de autoempleo fortaleciendo a mujeres emprendedoras de todo el territorio departamental. 
Este proyecto va dirigido a emprendedoras dedicadas a la producción de artesanías en fibras vegetales, lana rustica, florales nativos, plantas medicinales, conservas de frutas y hortalizas, licores y otros productos artesanales típicos de nuestro departamento. 
Se brindarán capacitaciones y se creará una Plataforma o Tienda online para la venta de productos de las mujeres emprendedoras, se elaborará una guía de emprendedoras que permitirán mejorar la calidad y el diseño de los productos, también se apoyará en la generación de canales de comercialización para potenciar estos emprendimientos.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Uruguay,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"-33.0, -56.0"
Aruba Youth Media Lab,"The Aruba Youth Media Lab
Fostering a youth-led media hub to bring stories from young people in Aruba ages between 11 to 16 years old to the community.. The Aruba Youth Media Lab is not just about learning the basics of journalism; it&#39;s about actively participating and using their voice. Throughout this program, participants will delve into print, audio, visual, and digital journalism, focusing on their storytelling abilities to cater specifically to their peers. During the program, the participants will learn from media experts and journalists how to make news bytes and reels resulting in five news broadcasts they will also have written, produced, and recorded.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Aruba,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"12.5, -69.9667"
Communication and Information as a Public Good: Designing a national communication framework for Aruba,"The proposed project seeks funding to design a framework for the development of communication and information as a public good in Aruba.  The innovative design research-approach involves multilateral and intergenerational stakeholders in an inclusive manner, to develop a communication ecosystem suitable for a small island developing state (SIDS) like Aruba. The project contributes to knowledge development, while building professional capacity and designing toolkits for a future CI-ecosystem in Aruba. The project will dissemminate the outcomes to the stakeholders and the general public.

UNESCO Aruba commissioned the project Communication and Information as a Public Good: Designing a national communication framework for Aruba.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Aruba,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"12.5, -69.9667"
"Brown Gold Operationalizing a social entrepreneurship model for upskilling and employing youth vulnerable to the effects of poverty in the community of Bruceville, Saint Lucia","The premise for the proposed project is to show how sustainable agricultural systems can be a solution to important social challenges such as poverty alleviation (SDG 1) and access to decent work (SDG 8) in a practically relevant local scenario. The targeted community for the project is Bruceville, Saint Lucia which is noted as being vulnerable to crime, pollution, poverty and food and nutrition insecurity. The project aims to develop a sustainable community-based mechanism that contributes to poverty alleviation by upskilling youth (boys and girls) in organic waste utilization and conversion into commercial products using a social entrepreneurship model.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Saint Lucia,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"13.8833, -61.1333"
"Taller Municipal “Mi Patrimonio: aprendo, conservo y Heredo a través de la ciencia, conciencia y el arte","El presente proyecto, enmarcado en el patrimonio de las Sitio Ruinas de León Viejo Patrimonio UNESCO desde el año 2000, fortalecerá la formación, visibilidad y el acondicionamiento del patrimonio cultural; este proyecto no sólo  promueve la protección del patrimonio natural, cultural, si no que también la comprensión del mismo por parte de los pobladores locales, además que impulsará la aplicación del Plan de Conservación del Sitio.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Nicaragua,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"13.0, -85.0"
The Perpetual Plastic Project,"Environmental Protection In the Caribbean - Sint Maarten (EPIC) is currently in the process of initiating &#39;The Perpetual Plastic Project&#39;, a plastic recycling workspace project, of which it is still in the starting up phase. It will entail a few different phases, the one most of relevance here is phase 1: the education phase. Much of what EPIC is intending to achieve through this project, specifically this phase, matches with what UNESCO wishes to attain at many of the schools on Sint Maarten. A more cognizant youth practicing sustainability, thereby protecting the island and themselves and their futures. 

Phase 2 for this recycling initiative, focuses on the setting up a small-scale plastic recycling workplace for which specific machinery is necessary.  There are different types of machines for the different outputs envisioned. It mainly comes down to a shredder which shreds the plastics to small ‘malleable’ pieces, an injector which melts the pieces which can then be injected into small molds for smaller plastic items, an extruder which works similar to an injector but is there to create bigger items through bigger molds (think a keychain vs a beam for a bench), and a sheet press which melts down plastic pieces into big slabs (generally 1x1m – think: table tops etc.).","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Sint Maarten,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"18.033333, -63.05"
S.T.E.A.M. Education Policy for the British Virgin Islands,"The Ministry of Education is actively engaged in the formulation of a comprehensive S.T.E.A.M. (Science, Technology, Engineering, Arts, and Mathematics) policy and advice concerning STEM education, delineating the strategic integration of these disciplines into the education curriculum for students across all grade levels and specifically highlighting girls and women in STEAM education.
This initiative is propelled by the recognition of the critical role S.T.E.A.M. plays in cultivating 21st-century skills among students and emphasizing the values to the fulfilment of UNESCO’s Strategy in STEM Education. In an era marked by rapid technological advancements and evolving global challenges, fostering competencies in science, technology, engineering, arts, and mathematics is paramount. These disciplines collectively empower students to think critically, solve complex problems, collaborate effectively, and innovate, thus equipping them with the essential skills needed to navigate and contribute to the challenges and opportunities of the contemporary world.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,British Virgin Islands,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"18.5, -64.5"
THINK OUTSIDE THE BOX YOUTH EMPOWERMENT SERIES,"Think Outside the Box Youth Empowerment Series will kick off in June with a conflict Resolution and Leadership Forum. This forum is timely because it will serve to target audience that exist in Dominica among youth-at-risk. Topics in conflict resolution is indeed essential to reach individuals who may have had conflict with the law and may have had challenges rehabilitating and being a productive member of their community. The organization also wishes to foster entrepreneurship among young professionals or just talented individuals with innovative ideas.

Some of the experts expected to attend are human resource personnel, career experts, social service professionals, other business professional and leadership experts. Their role is to sensitize aspiring young people on strategies in business, impact of social media in society and psycho-social subjects that can propel young minds to success.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Dominica,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"15.4167, -61.3333"
Sustenance of Sandwatch for Longevity in Guyana,"substenanance of Sandwatch for Longevity in Guyana is an experimental project designed to maintain interest and efficacy as well as to develop teacher&#39;s competencies in implementing the sandwatch programme in their schools and communities for a very long time.  The project entails montoring, coaching, training and incentivizing teachers.  Sandwatch is one of UNESCO&#39;s educational programmes/tools designed to enhance the resilence of coastline environments through schools and communities.  it is embedded in the Ministry of Education&#39;s Sector Plan (ESP) 2021-2025 (seep ESP, strategy 2.3.3. p 105) to be implemented by the Science Unit under the Stragetic activity, Education for Sustainable Development (ESD).  Due to the COVID-19 pandemic and the movement of trained sandwatch teachers, the programme came to a standstill in Guyana. As a result, the project is paramount towards the sustenance and longevity of sandwatch in Guyana.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Guyana,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"5.0, -59.0"
Media development and media pluralism in LAC,Support will be provided to Chile and media institutions to strengthen media development and media pluralism,Outcome 6 - Promote freedom of expression and the right to information,"6.CI3 - Member States and media institutions enabled to strengthen media development and media pluralism, including through the International Programme for the Development of Communication (IPDC)",COMMUNICATION AND INFORMATION,Chile,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"-30.0, -71.0"
"Promote freedom of expression and the right to information in Chile, and follow-up of the World Press Freedom Day Conference.","Chile and UNESCO will host World Press Freedom Day in 2024. Thirty years have passed since the first World Press Freedom Day celebration in 1994 and of the historic Santiago Declaration adopted during the “Seminar on the Development of Media and Democracy in Latin America and the Caribbean” (May 6, 1994), which marked a new phase in promoting the right to freedom of expression and of the press, as well as the development and recognition of community media, independence, and pluralism of the media in Latin America and the Caribbean. Therefore, the WPFD event is a good opportunity to return to the city of Santiago and reaffirm everyone’s commitment to promote and guarantee freedom of expression worldwide. After the WPFDC, support will be provided to Chile to strengthen capacities and raise awareness to improve current legislation and public policies related to freedom of expression, freedom of the press, safety of journalists, including women journalists, and the right to access information, online and offline.",Outcome 6 - Promote freedom of expression and the right to information,"6.CI2 - Member States have strengthened capacities and raised awareness to enhance norms and policies related to freedom of expression, press freedom, safety of journalists, including women journalists, and the right to access information, online and offl",COMMUNICATION AND INFORMATION,Chile,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"-30.0, -71.0"
Understanding the Gaps in Cancer Education and Awareness in Bangladesh and Finding Prospective Solutions: A Special Emphasis on Stigmas and Challenges Among Women,"Despite progress in cancer management, Bangladesh faces formidable challenges to overcome stigma and misunderstanding around cancers. The challenge is even bigger for women who suffers from breast and ovarian cancers(1). Bangladesh has enormous problem regarding cancer awareness and education among general people. Proper research is also lacking here to meet these challenges. With the involvement of Sir Walter Bodmer from the University of oxford who has long experience in cancer research and science communication, and leading figures from Bangladesh, this project aims to bridge the gaps through trainings, seminars, social media awareness campaigns, and community outreach by targeting students, communities, and healthcare professionals. Specific strategies include understanding cancer stigmas, gaps in cancer education and cancer prevention, addressing doctor-patient relationship challenges with a practical manual, and engaging diverse speakers. The project plans events in educational institutions, villages, and conference halls/hospitals. Overall, the initiative seeks to enhance the understanding on cancer education, eradicate fear, and foster stronger connections between healthcare providers and patients.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Bangladesh,,Country,Asia and the Pacific,2024-01-01,2025-12-31,"24.0, 90.0"
Protection and Promotion of  Boat Race- the Most Popular Water Sports in Bangladesh.,"The project addresses the decline of Boat Racing, once of the most popular and the most popular water sports in Bangladesh. Climate change, environmental shifts have led to the drying of water bodies, threatening this cherished water sport. Despite the rising popularity of mainstream sports like cricket and football, Boat Racing persists, particularly during the rainy season. This project strives to document resilient communities of men engaged in Boat Racing, preserving their cultural legacy. Through visual and written records, the initiative seeks to raise awareness about the sport&#39;s significance, offering a glimpse into a vanishing tradition, and fostering community empowerment amidst changing environmental dynamics","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Bangladesh,,Country,Asia and the Pacific,2024-01-01,2025-12-31,"24.0, 90.0"
Tech Connect: Empowering Youth to Become Global Citizens,"In our mission to connect Bangladesh with the world, we recognize the crucial role of technology as a medium that enables global connectivity. In today&#39;s interconnected digital landscape, technology serves as a potent tool that transcends geographical barriers, allowing us to bridge gaps between diverse cultures and communities. Through innovative digital platforms, social media networks, and immersive online experiences, we seek to cultivate meaningful connections among 11 countries spanning 3 continents. By harnessing the power of technology, our goal is not only to educate but also to elevate our history and cultural heritage to a more prominent global platform, fostering mutual understanding, appreciation, and dialogue across borders","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Bangladesh,,Country,Asia and the Pacific,2024-01-01,2025-12-31,"24.0, 90.0"
"National Geoforum ""UNESCO Geoparks for Sustainable Development and Cooperation""","Areas have been identified in Kazakhstan for inclusion in the UNESCO Global Network of Geoparks. For their further development it is necessary to improve interaction between local people, scientists, tourists and management.
Geoforum will be a platform for co-operation. During 4 days there will be round tables, trainings, master classes, craft fairs, geotourism, photo exhibitions and other events to draw attention to the prospects of geoparks development in Kazakhstan. The mobilisation of resources and stakeholders will be an important step towards the establishment of geoparks in Kazakhstan with a view to becoming a UNESCO Global Geopark in the future.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Kazakhstan,,Country,"Europe and North America,Asia and the Pacific",2024-01-01,2025-12-31,"48.0, 68.0"
Empowerment of women and girls in education: from rights to opportunities,"The project &quot;Empowerment of women and girls in education: from rights to opportunities&quot; aims to promote the creation of an educational environment free from gender-based discrimination, fostering the development and self- realization of every girl and woman, regardless of gender.
Running from May 1st to December 31st, 2024 it seeks to provide a platform for discussing the challenges faced by women in the field of education and seeking solutions to address them
Expected results include improved knowledge and skills through conducting a two conferences and one workshop, the creation of a support network of educational professionals willing to collaborate and support each other in gender equality matters.
Project activities include two conferences addressing key practices and stereotypes in education and workshop on women&#39;s potential in education leadership, issuance of booklets on women&#39;s statistics in education, and the development of recommendations.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Kazakhstan,,Country,"Europe and North America,Asia and the Pacific",2024-01-01,2025-12-31,"48.0, 68.0"
THE COLLECTION and DOCUMENTATION OF THE TRADITIONAL COSTUMES,"Vanuatu is a vibrant and culturally diverse archipelago in terms of traditional costumes. Each village on the island of Vanuatu has its respective traditional costumes. The practice of making these traditional costumes is also very diverse depending on the villages and the islands. Moreover, with natural disasters, more particularly climate change, and the rise of the sea level, which is advancing at high speed, we must imperatively protect and safeguard our traditional knowledge as well as the plants for manufacturing these cultural artifacts. For this, an inventory should be urgently carried out to assess the situation concerning the plants from which plant is derived and lost. Emphasis should be placed on strategies to re-establish viable stocks of these plants on an island. Traditional exchanges of these costumes should be encouraged to perpetuate their know-how and their manufacture. Knowledge and oral knowledge of the traditional origins of these costumes should be urgently recorded by collecting from the men or women of each village.
The production and use of traditional costumes play an essential role in many rituals for the indigenous people of Vanuatu and should be revived and perpetuated. For this, a documentation and photography project should be undertaken for this purpose to document and archive all the stages of the production chain of these traditional costumes.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Vanuatu,,Country,Asia and the Pacific,2024-01-01,2025-12-31,"-16.0, 167.0"
Development of hospital pedagogy for inclusive education and strengthening the capacity of women educators in the Kyrgyz Republic,"The project is aimed at creating a full-fledged educational environment in hospital schools of the Kyrgyz Republic for oncologically ill children and other categories of seriously ill children with the possibility of education, taking into account the individual characteristics of each child, ensuring smoother reintegration of children into everyday life after treatment. In the Kyrgyz Republic, the problem of hospital education has not been given due attention. Therefore, the creation of new hospital schools in all regions of the country and the training of qualified tutors is a very urgent issue today. 
The project is also aimed at social support of female teachers, improvement of their qualifications, professional development, improvement of the quality of educational services, and attracting public attention to the contribution of women to the development of hospital pedagogy in the Kyrgyz Republic.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Kyrgyzstan,,Country,Asia and the Pacific,2024-01-01,2025-12-31,"41.0, 75.0"
Create4-2025:  Platform of Creative Industries for joint development of ecosystem for creative economy in the Kyrgyz Republic,"Create4 2025 platform in Kyrgyz Republic aims to bolster the creative economy, focusing on women and youth participation. The project highlights benefits and necessary conditions for creative industries&#39; ecosystem development, engaging businesses, startups, government, and regional stakeholders. Expected outcomes include improved awareness among the public, government, and international bodies about creative industries&#39; economic potential. Special emphasis is on fostering youth and women&#39;s involvement, aiming for inclusive growth and development. The initiative seeks to inform and mobilize various stakeholders towards building a vibrant and sustainable creative economy in Kyrgyzstan.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Kyrgyzstan,,Country,Asia and the Pacific,2024-01-01,2025-12-31,"41.0, 75.0"
Sensibiliser et initier les jeunes filles à la culture entrepreneuriale en milieu  scolaire,"L&#39;emploi des jeunes est un défi pour les pays africains et encore plus pour la Gabon où les moins de 25 ans constituent plus de 54% de la population. Face à la capacité limitée du marché de travail d’offrir des possibilités d’emplois décents à ces jeunes diplômés ou pas, il devient plus qu’impératif de promouvoir de nouvelles stratégies permettant aux jeunes de créer leurs emplois et de contribuer positivement à l’économie. Parmi ces stratégies, l’entrepreneuriat est sans nul doute une des réponses clé pour libérer le potentiel productif et innovant des jeunes. La promotion de la culture de l’entreprenariat dès le jeune âge chez les jeunes filles en milieu scolaire serait un atout qui peut permettre de les sensibiliser à l’auto-emploi et la création des entreprises pour leur autonomisation et surtout pour surmonter les obstacles liés au chômage.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Gabon,,Country,Africa,2024-01-01,2025-12-31,"-1.0, 11.75"
"Geoparks as tools of historical geology and local traditions — case of the Braslav region, Belarus","Proposed intersectoral project, combining culture, science and education, is to implement the sustainable development goals of SDGs 3, 4, 5, 15, 17, preserve and popularize cultural and natural heritage, manifestations of intangible culture, develop tourist routes that include cultural and natural material objects, which will form the basis of the activity program of a potential national Geopark in the Braslav region.
Conceptual note attached","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Belarus,,Country,Europe and North America,2024-01-01,2025-12-31,"53.0, 28.0"
